name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross revenue,company,runtime,release month,release day,release year,other,release month num,release date,release quarter,release day of week,FILM,title_urled,budget_scraped
Splitting Heirs,PG-13,Comedy,1993,"April 30, 1993 (United States)",5.5,4100.0,Robert Young,Eric Idle,Eric Idle,United Kingdom,,3246063.0,Prominent Features,87.0,April,30,1993,(United States),4,1993-04-30,2,Friday,Splitting Heirs (1993),splitting_heirs_1993,
Born Yesterday,PG,Comedy,1993,"March 26, 1993 (United States)",5.2,3700.0,Luis Mandoki,Garson Kanin,Melanie Griffith,United States,,17952857.0,Hollywood Pictures,100.0,March,26,1993,(United States),3,1993-03-26,1,Friday,Born Yesterday (1993),born_yesterday_1993,
Blue,Not Rated,Biography,1993,"December 3, 1993 (United States)",7.3,2100.0,Derek Jarman,Derek Jarman,Derek Jarman,United Kingdom,,,Channel 4 Television Corporation,79.0,December,3,1993,(United States),12,1993-12-03,4,Friday,Blue (1993),blue_1993,
A Dangerous Woman,R,Drama,1993,"December 3, 1993 (United States)",5.8,1600.0,Stephen Gyllenhaal,Mary McGarry Morris,Debra Winger,United States,,1497222.0,Island World,102.0,December,3,1993,(United States),12,1993-12-03,4,Friday,A Dangerous Woman (1993),a_dangerous_woman_1993,
Ethan Frome,PG,Drama,1993,"March 12, 1993 (United States)",6.2,2000.0,John Madden,Richard Nelson,Liam Neeson,United Kingdom,,296081.0,American Playhouse,99.0,March,12,1993,(United States),3,1993-03-12,1,Friday,Ethan Frome (1993),ethan_frome_1993,
"Jamón, Jamón",R,Comedy,1992,"February 4, 1994 (United States)",6.4,13000.0,Bigas Luna,Cuca Canals,Penélope Cruz,Spain,,,Lolafilms,95.0,February,4,1994,(United States),2,1994-02-04,1,Friday,"Jamón, Jamón (1994)",jam_n_jam_n_1994,$80 million[3]
Belle Epoque,R,Comedy,1992,"February 25, 1994 (United States)",7.1,9700.0,Fernando Trueba,Rafael Azcona,Fernando Fernán Gómez,Spain,,5418216.0,Animatógrafo,109.0,February,25,1994,(United States),2,1994-02-25,1,Friday,Belle Epoque (1994),belle_epoque_1994,
Qing shao nian nuo zha,Not Rated,Crime,1992,"August 4, 1994 (Netherlands)",7.6,4000.0,Ming-liang Tsai,Ming-liang Tsai,Chao-jung Chen,Taiwan,,28791.0,Central Motion Pictures,106.0,August,4,1994,(Netherlands),8,1994-08-04,3,Thursday,Qing shao nian nuo zha (1994),qing_shao_nian_nuo_zha_1994,
Naked,Not Rated,Comedy,1993,"February 4, 1994 (United States)",7.8,36000.0,Mike Leigh,Mike Leigh,David Thewlis,United Kingdom,,1769305.0,Thin Man Films,132.0,February,4,1994,(United States),2,1994-02-04,1,Friday,Naked (1994),naked_1994,
The Cement Garden,Not Rated,Drama,1993,"February 11, 1994 (United States)",7.1,4500.0,Andrew Birkin,Andrew Birkin,Charlotte Gainsbourg,France,,322975.0,British Broadcasting Corporation (BBC),101.0,February,11,1994,(United States),2,1994-02-11,1,Friday,The Cement Garden (1994),the_cement_garden_1994,
Dream Lover,R,Drama,1993,"May 6, 1994 (United States)",6.2,4500.0,Nicholas Kazan,Nicholas Kazan,James Spader,United States,,256264.0,PolyGram Filmed Entertainment,103.0,May,6,1994,(United States),5,1994-05-06,2,Friday,Dream Lover (1994),dream_lover_1994,
Mi vida loca,R,Crime,1993,"July 15, 1994 (United States)",6.5,2000.0,Allison Anders,Allison Anders,Angel Aviles,United States,,3267313.0,Channel Four Films,92.0,July,15,1994,(United States),7,1994-07-15,3,Friday,Mi vida loca (1994),mi_vida_loca_1994,
The Scent of Green Papaya,Not Rated,Drama,1993,"January 28, 1994 (United States)",7.4,8300.0,Anh Hung Tran,Anh Hung Tran,Nu Yên-Khê Tran,Vietnam,,1700992.0,Les Productions Lazennec,104.0,January,28,1994,(United States),1,1994-01-28,1,Friday,The Scent of Green Papaya (1994),the_scent_of_green_papaya_1994,
Kika,Unrated,Comedy,1993,"May 6, 1994 (United States)",6.5,13000.0,Pedro Almodóvar,Pedro Almodóvar,Peter Coyote,Spain,,2019581.0,El Deseo,114.0,May,6,1994,(United States),5,1994-05-06,2,Friday,Kika (1994),kika_1994,
Suture,Not Rated,Drama,1993,"August 24, 1994 (France)",6.6,1800.0,Scott McGehee,Scott McGehee,Dennis Haysbert,United States,,102780.0,Kino Korsakoff,96.0,August,24,1994,(France),8,1994-08-24,3,Wednesday,Suture (1994),suture_1994,
Where the Rivers Flow North,PG-13,Drama,1993,"March 4, 1994 (United States)",6.7,464.0,Jay Craven,Howard Frank Mosher,Rip Torn,United States,,595505.0,Caledonia Pictures,106.0,March,4,1994,(United States),3,1994-03-04,1,Friday,Where the Rivers Flow North (1994),where_the_rivers_flow_north_1994,
Caro diario,Unrated,Biography,1993,"September 30, 1994 (United States)",7.3,7400.0,Nanni Moretti,Nanni Moretti,Nanni Moretti,Italy,,225278.0,Sacher Film,100.0,September,30,1994,(United States),9,1994-09-30,3,Friday,Caro diario (1994),caro_diario_1994,
Naked in New York,R,Comedy,1993,"April 13, 1994 (United States)",5.6,1600.0,Daniel Algrant,Daniel Algrant,Eric Stoltz,United States,,1038959.0,Some Film,95.0,April,13,1994,(United States),4,1994-04-13,2,Wednesday,Naked in New York (1994),naked_in_new_york_1994,$5 million[1]
Léon: The Professional,R,Action,1994,"November 18, 1994 (United States)",8.5,1100000.0,Luc Besson,Luc Besson,Jean Reno,France,,19552639.0,Gaumont,110.0,November,18,1994,(United States),11,1994-11-18,4,Friday,Léon: The Professional (1994),l_on_the_professional_1994,
D2: The Mighty Ducks,PG,Comedy,1994,"March 25, 1994 (United States)",6.1,38000.0,Sam Weisman,Steven Brill,Emilio Estevez,United States,,45610410.0,Avnet/Kerner Productions,106.0,March,25,1994,(United States),3,1994-03-25,1,Friday,D2: The Mighty Ducks (1994),d2_the_mighty_ducks_1994,
Camp Nowhere,PG,Adventure,1994,"August 26, 1994 (United States)",6.1,9100.0,Jonathan Prince,Andrew Kurtzman,Jonathan Jackson,United States,,10475705.0,Hollywood Pictures,96.0,August,26,1994,(United States),8,1994-08-26,3,Friday,Camp Nowhere (1994),camp_nowhere_1994,
"The Adventures of Priscilla, Queen of the Desert",R,Comedy,1994,"August 10, 1994 (United States)",7.5,48000.0,Stephan Elliott,Stephan Elliott,Hugo Weaving,Australia,,11265402.0,PolyGram Filmed Entertainment,104.0,August,10,1994,(United States),8,1994-08-10,3,Wednesday,"The Adventures of Priscilla, Queen of the Desert (1994)",the_adventures_of_priscilla_queen_of_the_desert_1994,"A$1,884,200(US$2 million)"
Sirens,R,Comedy,1994,"March 25, 1994 (United States)",5.9,10000.0,John Duigan,John Duigan,Hugh Grant,Australia,,7770731.0,British Screen Finance Ltd.,98.0,March,25,1994,(United States),3,1994-03-25,1,Friday,Sirens (1994),sirens_1994,
Three Colors: Red,R,Drama,1994,"November 23, 1994 (United States)",8.1,94000.0,Krzysztof Kieslowski,Krzysztof Kieslowski,Irène Jacob,Switzerland,,3581969.0,MK2 Productions,99.0,November,23,1994,(United States),11,1994-11-23,4,Wednesday,Three Colors: Red (1994),three_colors_red_1994,
Airheads,PG-13,Comedy,1994,"August 5, 1994 (United States)",6.1,47000.0,Michael Lehmann,Rich Wilkes,Brendan Fraser,United States,,5751882.0,Twentieth Century Fox,92.0,August,5,1994,(United States),8,1994-08-05,3,Friday,Airheads (1994),airheads_1994,$11.2 million
Blank Check,PG,Comedy,1994,"February 11, 1994 (United States)",5.3,19000.0,Rupert Wainwright,Blake Snyder,Brian Bonsall,United States,,30577969.0,Walt Disney Pictures,93.0,February,11,1994,(United States),2,1994-02-11,1,Friday,Blank Check (1994),blank_check_1994,$13 million
Only You,PG,Comedy,1994,"October 7, 1994 (United States)",6.5,21000.0,Norman Jewison,Diane Drake,Marisa Tomei,United States,,20059210.0,TriStar Pictures,109.0,October,7,1994,(United States),10,1994-10-07,4,Friday,Only You (1994),only_you_1994,
When a Man Loves a Woman,R,Drama,1994,"May 13, 1994 (United States)",6.6,21000.0,Luis Mandoki,Ronald Bass,Meg Ryan,United States,,50021959.0,Touchstone Pictures,126.0,May,13,1994,(United States),5,1994-05-13,2,Friday,When a Man Loves a Woman (1994),when_a_man_loves_a_woman_1994,
My Father the Hero,PG,Comedy,1994,"February 4, 1994 (United States)",5.5,11000.0,Steve Miner,Gérard Lauzier,Gérard Depardieu,France,,25479558.0,Touchstone Pictures,90.0,February,4,1994,(United States),2,1994-02-04,1,Friday,My Father the Hero (1994),my_father_the_hero_1994,
Three Colors: White,R,Comedy,1994,"June 10, 1994 (United States)",7.6,67000.0,Krzysztof Kieslowski,Krzysztof Kieslowski,Zbigniew Zamachowski,Switzerland,,1237219.0,MK2 Productions,92.0,June,10,1994,(United States),6,1994-06-10,2,Friday,Three Colors: White (1994),three_colors_white_1994,
My Girl 2,PG,Comedy,1994,"February 11, 1994 (United States)",5.3,19000.0,Howard Zieff,Laurice Elehwany,Dan Aykroyd,United States,,17359799.0,Imagine Films Entertainment,99.0,February,11,1994,(United States),2,1994-02-11,1,Friday,My Girl 2 (1994),my_girl_2_1994,
Chasers,R,Action,1994,"April 22, 1994 (United States)",5.1,5900.0,Dennis Hopper,Joe Batteer,Tom Berenger,United States,,1596687.0,Morgan Creek Entertainment,102.0,April,22,1994,(United States),4,1994-04-22,2,Friday,Chasers (1994),chasers_1994,$15 million[citation needed]
The Getaway,R,Action,1994,"February 11, 1994 (United States)",5.8,17000.0,Roger Donaldson,Jim Thompson,Alec Baldwin,United States,,30057974.0,Universal Pictures,115.0,February,11,1994,(United States),2,1994-02-11,1,Friday,The Getaway (1994),the_getaway_1994,$37 million
Wagons East,PG-13,Adventure,1994,"August 26, 1994 (United States)",4.8,5200.0,Peter Markle,Matthew Carlson,John Candy,United States,,4412297.0,Carolco Pictures,107.0,August,26,1994,(United States),8,1994-08-26,3,Friday,Wagons East (1994),wagons_east_1994,
Greedy,PG-13,Comedy,1994,"March 4, 1994 (United States)",6.3,13000.0,Jonathan Lynn,Lowell Ganz,Michael J. Fox,United States,,13137484.0,Imagine Entertainment,113.0,March,4,1994,(United States),3,1994-03-04,1,Friday,Greedy (1994),greedy_1994,$23 million
With Honors,PG-13,Comedy,1994,"April 29, 1994 (United States)",6.7,14000.0,Alek Keshishian,William Mastrosimone,Joe Pesci,United States,,20016254.0,Spring Creek Productions,101.0,April,29,1994,(United States),4,1994-04-29,2,Friday,With Honors (1994),with_honors_1994,
Little Big League,PG,Comedy,1994,"June 29, 1994 (United States)",6.1,10000.0,Andrew Scheinman,Gregory K. Pincus,Luke Edwards,United States,,12267790.0,Castle Rock Entertainment,119.0,June,29,1994,(United States),6,1994-06-29,2,Wednesday,Little Big League (1994),little_big_league_1994,$20 million (US)[1]
Queen Margot,R,Biography,1994,"December 9, 1994 (United States)",7.4,17000.0,Patrice Chéreau,Alexandre Dumas,Isabelle Adjani,France,,1318578.0,Renn Productions,159.0,December,9,1994,(United States),12,1994-12-09,4,Friday,Queen Margot (1994),queen_margot_1994,$18.3 million
Miracle on 34th Street,PG,Family,1994,"November 18, 1994 (United States)",6.5,33000.0,Les Mayfield,Valentine Davies,Richard Attenborough,United States,,46264384.0,Twentieth Century Fox,114.0,November,18,1994,(United States),11,1994-11-18,4,Friday,Miracle on 34th Street (1994),miracle_on_34th_street_1994,
Threesome,R,Comedy,1994,"April 8, 1994 (United States)",6.3,13000.0,Andrew Fleming,Andrew Fleming,Lara Flynn Boyle,United States,,14815317.0,Motion Picture Corporation of America (MPCA),93.0,April,8,1994,(United States),4,1994-04-08,2,Friday,Threesome (1994),threesome_1994,$10 million
The War,PG-13,Drama,1994,"November 4, 1994 (United States)",6.8,12000.0,Jon Avnet,Kathy McWorter,Elijah Wood,United States,,16928556.0,Island World,126.0,November,4,1994,(United States),11,1994-11-04,4,Friday,The War (1994),the_war_1994,$34 million
The Chase,PG-13,Action,1994,"March 4, 1994 (United States)",5.8,18000.0,Adam Rifkin,Adam Rifkin,Charlie Sheen,United States,,7924955.0,Capitol Films,94.0,March,4,1994,(United States),3,1994-03-04,1,Friday,The Chase (1994),the_chase_1994,
Milk Money,PG-13,Comedy,1994,"August 31, 1994 (United States)",5.6,12000.0,Richard Benjamin,John Mattson,Melanie Griffith,United States,,18137661.0,Paramount Pictures,110.0,August,31,1994,(United States),8,1994-08-31,3,Wednesday,Milk Money (1994),milk_money_1994,$20 million[citation needed]
Eat Drink Man Woman,Not Rated,Comedy,1994,"August 3, 1994 (United States)",7.8,19000.0,Ang Lee,Ang Lee,Sihung Lung,Taiwan,,7294403.0,Ang Lee Productions,124.0,August,3,1994,(United States),8,1994-08-03,3,Wednesday,Eat Drink Man Woman (1994),eat_drink_man_woman_1994,
Blue Chips,PG-13,Drama,1994,"February 18, 1994 (United States)",6.2,13000.0,William Friedkin,Ron Shelton,Nick Nolte,United States,,23070663.0,Paramount Pictures,108.0,February,18,1994,(United States),2,1994-02-18,1,Friday,Blue Chips (1994),blue_chips_1994,$35 million
Andre,PG,Adventure,1994,"August 17, 1994 (United States)",5.7,6500.0,George Miller,Harry Goodridge,Tina Majorino,United States,,16820893.0,Paramount Pictures,94.0,August,17,1994,(United States),8,1994-08-17,3,Wednesday,Andre (1994),andre_1994,
Ashes of Time,R,Action,1994,"September 17, 1994 (Hong Kong)",7.1,14000.0,Kar-Wai Wong,Louis Cha,Brigitte Lin,Hong Kong,,1977198.0,Jet Tone Production,100.0,September,17,1994,(Hong Kong),9,1994-09-17,3,Saturday,Ashes of Time (1994),ashes_of_time_1994,"HK$40,000,000 (estimated)"
Brainscan,R,Comedy,1994,"April 22, 1994 (United States)",6.1,11000.0,John Flynn,Brian Owens,Edward Furlong,United Kingdom,,4352094.0,Admire Productions Ltd.,96.0,April,22,1994,(United States),4,1994-04-22,2,Friday,Brainscan (1994),brainscan_1994,
Black Beauty,G,Adventure,1994,"July 29, 1994 (United States)",6.6,9500.0,Caroline Thompson,Anna Sewell,Sean Bean,United Kingdom,,4630377.0,Warner Bros.,88.0,July,29,1994,(United States),7,1994-07-29,3,Friday,Black Beauty (1994),black_beauty_1994,
Iron Will,PG,Adventure,1994,"January 14, 1994 (United States)",6.6,7900.0,Charles Haid,John Michael Hayes,Mackenzie Astin,United States,,21006361.0,Walt Disney Pictures,108.0,January,14,1994,(United States),1,1994-01-14,1,Friday,Iron Will (1994),iron_will_1994,
To Live,Not Rated,Drama,1994,"December 16, 1994 (United States)",8.3,17000.0,Yimou Zhang,Wei Lu,You Ge,China,,2332728.0,ERA International,133.0,December,16,1994,(United States),12,1994-12-16,4,Friday,To Live (1994),to_live_1994,
In the Army Now,PG,Comedy,1994,"August 12, 1994 (United States)",5.0,13000.0,Daniel Petrie Jr.,Steve Zacharias,Pauly Shore,United States,,28881266.0,Hollywood Pictures,91.0,August,12,1994,(United States),8,1994-08-12,3,Friday,In the Army Now (1994),in_the_army_now_1994,
Trapped in Paradise,PG-13,Adventure,1994,"December 2, 1994 (United States)",5.9,13000.0,George Gallo,George Gallo,Nicolas Cage,United States,,6017509.0,Permut Presentations,111.0,December,2,1994,(United States),12,1994-12-02,4,Friday,Trapped in Paradise (1994),trapped_in_paradise_1994,
"Corrina, Corrina",PG,Comedy,1994,"August 26, 1994 (United States)",6.6,13000.0,Jessie Nelson,Jessie Nelson,Ray Liotta,United States,,20164171.0,New Line Cinema,115.0,August,26,1994,(United States),8,1994-08-26,3,Friday,"Corrina, Corrina (1994)",corrina_corrina_1994,$22 million
It's Pat: the Movie,PG-13,Comedy,1994,"November 25, 1994 (Brazil)",2.7,9500.0,Adam Bernstein,Julia Sweeney,Julia Sweeney,United States,,60822.0,Touchstone Pictures,77.0,November,25,1994,(Brazil),11,1994-11-25,4,Friday,It's Pat: the Movie (1994),it_s_pat_the_movie_1994,$8 million[1]
Cops and Robbersons,PG,Comedy,1994,"April 15, 1994 (United States)",5.2,6400.0,Michael Ritchie,Bernie Somers,Chevy Chase,United States,,11391093.0,TriStar Pictures,93.0,April,15,1994,(United States),4,1994-04-15,2,Friday,Cops and Robbersons (1994),cops_and_robbersons_1994,
Lassie,PG,Family,1994,"July 22, 1994 (United States)",5.9,5400.0,Daniel Petrie,Eric Knight,Helen Slater,United States,,9979683.0,Broadway Pictures,94.0,July,22,1994,(United States),7,1994-07-22,3,Friday,Lassie (1994),lassie_1994,
Monkey Trouble,PG,Adventure,1994,"March 18, 1994 (United States)",5.3,6500.0,Franco Amurri,Franco Amurri,Thora Birch,Japan,,16453258.0,New Line Cinema,96.0,March,18,1994,(United States),3,1994-03-18,1,Friday,Monkey Trouble (1994),monkey_trouble_1994,
The Puppet Masters,R,Horror,1994,"October 21, 1994 (United States)",5.9,8500.0,Stuart Orme,Robert A. Heinlein,Donald Sutherland,United States,,8647042.0,Hollywood Pictures,109.0,October,21,1994,(United States),10,1994-10-21,4,Friday,The Puppet Masters (1994),the_puppet_masters_1994,
The Scout,PG-13,Comedy,1994,"September 30, 1994 (United States)",5.4,6000.0,Michael Ritchie,Roger Angell,Albert Brooks,United States,,2694234.0,Santo Domingo Film & Music Video,101.0,September,30,1994,(United States),9,1994-09-30,3,Friday,The Scout (1994),the_scout_1994,$20 million
Backbeat,R,Biography,1994,"April 15, 1994 (United States)",6.7,5900.0,Iain Softley,Iain Softley,Stephen Dorff,United Kingdom,,2392589.0,Channel Four Films,100.0,April,15,1994,(United States),4,1994-04-15,2,Friday,Backbeat (1994),backbeat_1994,
House Party 3,R,Comedy,1994,"January 12, 1994 (United States)",4.7,4800.0,Eric Meza,Reginald Hudlin,Christopher Reid,United States,,19281235.0,"Jackson/McHenry Company,The",100.0,January,12,1994,(United States),1,1994-01-12,1,Wednesday,House Party 3 (1994),house_party_3_1994,
Sleep with Me,R,Comedy,1994,"November 2, 1994 (France)",5.7,2500.0,Rory Kelly,Duane Dell'Amico,Craig Sheffer,United States,,200151.0,August Entertainment,86.0,November,2,1994,(France),11,1994-11-02,4,Wednesday,Sleep with Me (1994),sleep_with_me_1994,
Princess Caraboo,PG,Comedy,1994,"September 16, 1994 (United States)",6.0,2500.0,Michael Austin,Michael Austin,Phoebe Cates,United Kingdom,,3062530.0,Ardican Films,97.0,September,16,1994,(United States),9,1994-09-16,3,Friday,Princess Caraboo (1994),princess_caraboo_1994,
Lightning Jack,PG-13,Comedy,1994,"March 11, 1994 (United States)",5.5,6500.0,Simon Wincer,Paul Hogan,Paul Hogan,United States,,16821273.0,Lightning Ridge,98.0,March,11,1994,(United States),3,1994-03-11,1,Friday,Lightning Jack (1994),lightning_jack_1994,
A Troll in Central Park,G,Animation,1994,"October 7, 1994 (United States)",5.4,6300.0,Don Bluth,Stu Krieger,Dom DeLuise,Ireland,,71368.0,Don Bluth,76.0,October,7,1994,(United States),10,1994-10-07,4,Friday,A Troll in Central Park (1994),a_troll_in_central_park_1994,
Trading Mom,PG,Comedy,1994,"May 13, 1994 (United States)",5.6,1800.0,Tia Brelis,Nancy Brelis,Sissy Spacek,United States,,319123.0,First Look International,82.0,May,13,1994,(United States),5,1994-05-13,2,Friday,Trading Mom (1994),trading_mom_1994,
A Simple Twist of Fate,PG-13,Comedy,1994,"September 2, 1994 (United States)",6.3,5200.0,Gillies MacKinnon,George Eliot,Steve Martin,United States,,3430583.0,Touchstone Pictures,106.0,September,2,1994,(United States),9,1994-09-02,3,Friday,A Simple Twist of Fate (1994),a_simple_twist_of_fate_1994,
The Inkwell,R,Comedy,1994,"April 22, 1994 (United States)",6.4,1400.0,Matty Rich,Trey Ellis,Larenz Tate,United States,,8880705.0,Touchstone Pictures,110.0,April,22,1994,(United States),4,1994-04-22,2,Friday,The Inkwell (1994),the_inkwell_1994,$8 million[1]
Holy Matrimony,PG-13,Comedy,1994,"April 8, 1994 (United States)",5.1,1400.0,Leonard Nimoy,David Weisberg,Patricia Arquette,United States,,713234.0,Aurora Productions LLC,93.0,April,8,1994,(United States),4,1994-04-08,2,Friday,Holy Matrimony (1994),holy_matrimony_1994,$16 million
Tom & Viv,PG-13,Biography,1994,"December 2, 1994 (United States)",6.3,1600.0,Brian Gilbert,Michael Hastings,Willem Dafoe,United Kingdom,,538534.0,British Screen Productions,115.0,December,2,1994,(United States),12,1994-12-02,4,Friday,Tom & Viv (1994),tom_viv_1994,$7 million[1]
The Browning Version,R,Drama,1994,"October 12, 1994 (United States)",7.2,3100.0,Mike Figgis,Terence Rattigan,Albert Finney,United Kingdom,,487391.0,Percy Main,97.0,October,12,1994,(United States),10,1994-10-12,4,Wednesday,The Browning Version (1994),the_browning_version_1994,$7 million
Cobb,R,Biography,1994,"December 2, 1994 (United States)",6.4,7200.0,Ron Shelton,Al Stump,Tommy Lee Jones,United States,,1007583.0,Alcor Films,128.0,December,2,1994,(United States),12,1994-12-02,4,Friday,Cobb (1994),cobb_1994,
Naked Killer,R,Action,1992,"August 4, 1995 (United States)",6.0,2200.0,Clarence Fok,Jing Wong,Chingmy Yau,Hong Kong,,,Wong Jing's Workshop Ltd.,89.0,August,4,1995,(United States),8,1995-08-04,3,Friday,Naked Killer (1995),naked_killer_1995,
3 Ninjas: Knuckle Up,PG-13,Action,1993,"April 7, 1995 (United States)",4.3,5400.0,Sang-ok Shin,Alex S. Kim,Victor Wong,United States,,413479.0,Sheen Productions,85.0,April,7,1995,(United States),4,1995-04-07,2,Friday,3 Ninjas: Knuckle Up (1995),3_ninjas_knuckle_up_1995,
Totally F***ed Up,Unrated,Comedy,1993,"January 13, 1995 (United Kingdom)",6.4,3000.0,Gregg Araki,Gregg Araki,James Duval,United States,,101071.0,Blurco,78.0,January,13,1995,(United Kingdom),1,1995-01-13,1,Friday,Totally F***ed Up (1995),totally_f_ed_up_1995,
Silent Tongue,PG-13,Drama,1993,"January 27, 1995 (United Kingdom)",5.3,1100.0,Sam Shepard,Sam Shepard,Alan Bates,France,,61274.0,Belbo Films,102.0,January,27,1995,(United Kingdom),1,1995-01-27,1,Friday,Silent Tongue (1995),silent_tongue_1995,
Once Were Warriors,R,Crime,1994,"March 3, 1995 (United States)",7.9,32000.0,Lee Tamahori,Riwia Brown,Rena Owen,New Zealand,,1608570.0,Communicado Productions,102.0,March,3,1995,(United States),3,1995-03-03,1,Friday,Once Were Warriors (1995),once_were_warriors_1995,
Exotica,R,Drama,1994,"March 24, 1995 (United States)",7.1,19000.0,Atom Egoyan,Atom Egoyan,Bruce Greenwood,Canada,,4221036.0,Alliance Entertainment,103.0,March,24,1995,(United States),3,1995-03-24,1,Friday,Exotica (1995),exotica_1995,CAD 2 million[1]
Sister My Sister,R,Drama,1994,"July 14, 1995 (United States)",6.6,3200.0,Nancy Meckler,Wendy Kesselman,Julie Walters,United Kingdom,,217881.0,British Screen Productions,86.0,July,14,1995,(United States),7,1995-07-14,3,Friday,Sister My Sister (1995),sister_my_sister_1995,
S.F.W.,R,Comedy,1994,"January 20, 1995 (United States)",5.8,4800.0,Jefery Levy,Andrew Wellman,Stephen Dorff,United States,,63513.0,Polygram Filmed Entertainment,96.0,January,20,1995,(United States),1,1995-01-20,1,Friday,S.F.W. (1995),s_f_w_1995,
Immortal Beloved,R,Biography,1994,"January 27, 1995 (United States)",7.4,24000.0,Bernard Rose,Bernard Rose,Gary Oldman,United Kingdom,,9914409.0,Icon Entertainment International,121.0,January,27,1995,(United States),1,1995-01-27,1,Friday,Immortal Beloved (1995),immortal_beloved_1995,
Death Machine,R,Action,1994,"May 26, 1995 (United Kingdom)",5.6,4000.0,Stephen Norrington,Stephen Norrington,Brad Dourif,United Kingdom,,3129045.0,Entertainment Film Distributors,120.0,May,26,1995,(United Kingdom),5,1995-05-26,2,Friday,Death Machine (1995),death_machine_1995,$6.5 million
Through the Olive Trees,G,Drama,1994,"January 25, 1995 (France)",7.8,7100.0,Abbas Kiarostami,Abbas Kiarostami,Mohamad Ali Keshavarz,Iran,,,Abbas Kiarostami Productions,103.0,January,25,1995,(France),1,1995-01-25,1,Wednesday,Through the Olive Trees (1995),through_the_olive_trees_1995,
A Pure Formality,PG-13,Crime,1994,"May 26, 1995 (United States)",7.7,11000.0,Giuseppe Tornatore,Giuseppe Tornatore,Gérard Depardieu,Italy,,190749.0,Cecchi Gori Group Tiger Cinematografica,108.0,May,26,1995,(United States),5,1995-05-26,2,Friday,A Pure Formality (1995),a_pure_formality_1995,
Farinelli,R,Biography,1994,"March 17, 1995 (United States)",6.8,6500.0,Gérard Corbiau,Andrée Corbiau,Stefano Dionisi,France,,1600226.0,Stéphan Films,111.0,March,17,1995,(United States),3,1995-03-17,1,Friday,Farinelli (1995),farinelli_1995,
Priest,R,Drama,1994,"March 24, 1995 (United States)",7.1,9800.0,Antonia Bird,Jimmy McGovern,Linus Roache,United Kingdom,,4165845.0,BBC Films,98.0,March,24,1995,(United States),3,1995-03-24,1,Friday,Priest (1995),priest_1995,
War of the Buttons,PG,Adventure,1994,"September 29, 1995 (United States)",7.4,4100.0,John Roberts,Louis Pergaud,Gregg Fitzgerald,United Kingdom,,12712.0,Enigma Productions,94.0,September,29,1995,(United States),9,1995-09-29,3,Friday,War of the Buttons (1995),war_of_the_buttons_1995,
The Sum of Us,R,Comedy,1994,"March 8, 1995 (United States)",7.3,5200.0,Geoff Burton,David Stevens,Jack Thompson,Australia,,766464.0,Australian Film Finance Corporation (AFFC),100.0,March,8,1995,(United States),3,1995-03-08,1,Wednesday,The Sum of Us (1995),the_sum_of_us_1995,
River of Grass,Not Rated,Drama,1994,"October 13, 1995 (United States)",6.6,1800.0,Kelly Reichardt,Jesse Hartman,Lisa Donaldson,United States,,11553.0,Good Machine,76.0,October,13,1995,(United States),10,1995-10-13,4,Friday,River of Grass (1995),river_of_grass_1995,
Empire Records,PG-13,Comedy,1995,"October 20, 1995 (United States)",6.7,52000.0,Allan Moyle,Carol Heikkinen,Anthony LaPaglia,United States,,273188.0,Monarchy Enterprises B.V.,90.0,October,20,1995,(United States),10,1995-10-20,4,Friday,Empire Records (1995),empire_records_1995,$10 million[citation needed]
"To Wong Foo Thanks for Everything, Julie Newmar",PG-13,Comedy,1995,"September 8, 1995 (United States)",6.6,30000.0,Beeban Kidron,Douglas Carter Beane,Wesley Snipes,United States,,47774193.0,Universal Pictures,109.0,September,8,1995,(United States),9,1995-09-08,3,Friday,"To Wong Foo Thanks for Everything, Julie Newmar (1995)",to_wong_foo_thanks_for_everything_julie_newmar_1995,
Heavyweights,PG,Comedy,1995,"February 17, 1995 (United States)",6.6,26000.0,Steven Brill,Judd Apatow,Tom McGowan,United States,,17689177.0,Caravan Pictures,100.0,February,17,1995,(United States),2,1995-02-17,1,Friday,Heavyweights (1995),heavyweights_1995,
Now and Then,PG-13,Comedy,1995,"October 20, 1995 (United States)",6.8,28000.0,Lesli Linka Glatter,I. Marlene King,Christina Ricci,United States,,37591674.0,New Line Cinema,100.0,October,20,1995,(United States),10,1995-10-20,4,Friday,Now and Then (1995),now_and_then_1995,$12 million[1]
Tommy Boy,PG-13,Adventure,1995,"March 31, 1995 (United States)",7.1,79000.0,Peter Segal,Bonnie Turner,Chris Farley,United States,,32679899.0,Broadway Pictures,97.0,March,31,1995,(United States),3,1995-03-31,1,Friday,Tommy Boy (1995),tommy_boy_1995,$20 million[2]
Just Cause,R,Action,1995,"February 17, 1995 (United States)",6.4,25000.0,Arne Glimcher,John Katzenbach,Sean Connery,United States,,36853222.0,Warner Bros.,102.0,February,17,1995,(United States),2,1995-02-17,1,Friday,Just Cause (1995),just_cause_1995,$27 million
Major Payne,PG-13,Adventure,1995,"March 24, 1995 (United States)",6.3,32000.0,Nick Castle,Joe Connelly,Damon Wayans,United States,,30112050.0,Universal Pictures,95.0,March,24,1995,(United States),3,1995-03-24,1,Friday,Major Payne (1995),major_payne_1995,
